No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
1,,runin,20mg150sIRMS_delay,0.447,1889,4981,1,1,11.03,40.81,3.7009,"ash cruc, bakeout. mt looks good",10/20/2023 15:54
2,,runin,20mg150sIRMS_delay,0.496,2303,5526,1,1,12.11,40.81,3.3689,,10/20/2023 16:08
3,,aspartic,20mg150sIRMS_delay,0.515,2338,5766,0.888,0.8799,10.52,36.09,3.4306,,10/20/2023 16:21
4,,aspartic,20mg150sIRMS_delay,0.524,2079,5502,1.016,0.9384,10.52,36.09,3.4306,,10/20/2023 16:34
5,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.045,153,523,0.952,0.9092,8.5,38.83,4.5701,,10/20/2023 16:47
6,"Nu,Cu",moran-med,20mg150sIRMS_delay,0.043,152,529,0.952,0.9092,8.84,41.08,4.6467,,10/20/2023 17:01
7,,BSLE_0001s,20mg150sIRMS_delay,10.82,7152,180070,0.952,0.9092,1.63,56.78,34.8433,,10/20/2023 17:14
8,,BSLE_0002s,20mg150sIRMS_delay,10.156,5051,201340,0.952,0.9092,1.23,67.73,54.9279,,10/20/2023 18:28
9,bl,BSLE_0003s,20mg150sIRMS_delay,10.235,6227,139350,0.952,0.9092,1.5,46.33,30.7922,,10/20/2023 18:42
10,"Cnp,Nu",mt,Blank with O,100,24,0,0.952,0.9092,0,0,0,position 13,11/1/2023 15:29
11,"Nu,Cu",mt,20mg150s,100,38,2,0.952,0.9092,0,0,0.0872,14,11/1/2023 15:37
12,,runin,20mg150s,0.534,2173,5942,0.952,0.9092,10.11,37.06,3.6668,15,11/1/2023 15:46
13,,runin,20mg150s,0.589,2299,6471,0.952,0.9092,9.7,36.6,3.7749,16,11/1/2023 15:54
14,,aspartic,20mg150s,0.476,1887,5253,1.0166,0.893,10.52,36.09,3.4306,17,11/1/2023 16:03
15,,aspartic,20mg150s,0.454,1791,5029,1.0219,0.8896,10.52,36.09,3.4306,18,11/1/2023 16:11
16,,BSLE_0010s,20mg150s,10.546,2650,213303,1.0192,0.8913,0.67,67.79,101.4477,19,11/1/2023 16:20
17,,BSLE_0011s,20mg150s,9.814,7189,148978,1.0192,0.8913,1.93,50.67,26.2074,,11/1/2023 16:29
18,,BSLE_0012s,20mg150s,9.605,6090,137128,1.0192,0.8913,1.68,47.61,28.3556,,11/1/2023 16:37
19,Cu,mt,20mg150s,100,0,92,1.0192,0.8913,0,0,0,,11/1/2023 16:46
20,,aspartic,20mg150s,0.525,2136,5884,0.991,0.879,10.52,36.09,3.4306,,11/1/2023 16:54
21,,aspartic,20mg150s,0.586,2233,6500,1.0581,0.888,10.52,36.09,3.4306,,11/1/2023 17:03
22,,BSLE_0013s,20mg150s,9.715,4703,137870,1.0246,0.8835,1.29,46.92,36.3039,,11/1/2023 17:11
23,,BSLE_0014s,20mg150s,10.705,6110,147670,1.0246,0.8835,1.52,45.64,30.0367,,11/1/2023 17:20
24,"Nu,Cu",BSLE_0016s,20mg150s,10,19,93,1.0246,0.8835,0.01,0.03,6.0055,,11/1/2023 17:29
25,,BSLE_0017s,20mg150s,10.218,5981,154801,1.0246,0.8835,1.56,50.15,32.1707,,11/1/2023 17:37
26,,BSLE_0050s,20mg150s,9.952,4579,184354,1.0246,0.8835,1.23,61.44,50.004,,11/1/2023 17:46
27,,BSLE_0051s,20mg150s,9.641,4307,204123,1.0246,0.8835,1.19,70.3,58.9133,,11/1/2023 17:55
28,,BSLE_0052s,20mg150s,10.202,5239,190543,1.0246,0.8835,1.37,61.97,45.2356,,11/1/2023 18:03
29,,BSLE_0058s,20mg150s,10.864,3056,244945,1.0246,0.8835,0.75,75.04,99.82,,11/1/2023 18:12
30,,BSLE_0067s,20mg150s,10.357,4073,155205,1.0246,0.8835,1.05,49.61,47.2205,,11/1/2023 18:21
31,,BSLE_0068s,20mg150s,9.935,6348,84935,1.0246,0.8835,1.7,28.13,16.5466,,11/1/2023 18:30
32,,BSLE_0071s,20mg150s,9.892,5006,176431,1.0246,0.8835,1.35,59.12,43.7772,,11/1/2023 18:38
33,,BSLE_0072s,20mg150s,10.168,5418,55588,1.0246,0.8835,1.42,17.91,12.6036,,11/1/2023 18:47
34,,BSLE_0073s,20mg150s,10.813,7816,163096,1.0246,0.8835,1.93,49.96,25.837,,11/1/2023 18:56
35,"Nnp,Cu",mt,20mg150s,100,0,111,1.0246,0.8835,0,0,0,,11/1/2023 19:04
36,,aspartic,20mg150s,0.467,1648,5163,1.1421,0.8914,10.52,36.09,3.4306,,11/1/2023 19:13
37,,aspartic,20mg150s,0.563,2191,6237,1.0361,0.8892,10.52,36.09,3.4306,,11/1/2023 19:21
38,,,,0,0,0,1.0891,0.8903,0,0,0,, 
