Batch Report,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Id,Name,Sample Type,Sample Group,Comparison,N2,,,CO2,,
,,,,,Height (nA),δ¹⁵N (Gas),δ¹⁵N (Air),Height (nA),δ¹³C (Gas),δ¹³C (VPDB)
4061,runin,(none),aspartics,FALSE,2.45,0.16,5.26,5.8,-5.73,-34.28
4062,runin,(none),aspartics,FALSE,2.84,0.34,5.64,6.23,-6.23,-34.8
4063,aspartic,(none),aspartics,FALSE,2.44,0.28,5.51,5.23,-6.35,-34.92
4064,aspartic,(none),aspartics,FALSE,3.12,0.06,5.04,6.81,-6.14,-34.71
4082,aspartic,(none),aspartics,FALSE,2.44,-0.49,3.88,5.32,-6.15,-34.72
4100,aspartic,(none),aspartics,FALSE,2.3,0.03,4.97,5.34,-5.94,-34.5
4101,aspartic-0.1mg,(none),aspartics,FALSE,0.52,-0.94,2.9,1.41,-3.56,-32
4102,aspartic-1mg,(none),aspartics,FALSE,5.01,0.05,5.04,10.99,-4.53,-33.02
4103,aspartic-3mg,(none),aspartics,FALSE,14.91,0,4.93,20.84,-4.82,-33.32
4125,runin,(none),aspartics,FALSE,2.2,-0.18,4.53,6.43,-3.74,-32.19
4126,runin,(none),aspartics,FALSE,2.24,-0.37,4.13,6.11,-4.2,-32.68
4127,aspartic,(none),aspartics,FALSE,2.36,12.03,30.61,6.08,-4.29,-32.77
4128,aspartic,(none),aspartics,FALSE,2.73,19.25,46.03,6.95,-5.93,-34.49
4146,aspartic,(none),aspartics,FALSE,2.42,-0.14,4.62,6.61,-5.96,-34.51
4164,aspartic,(none),aspartics,FALSE,2.23,4.48,14.49,5.62,-6.37,-34.95
4165,aspartic-0.1mg,(none),aspartics,FALSE,0.42,11.33,29.1,1.3,-3.19,-31.62
4166,aspartic-1mg,(none),aspartics,FALSE,4.72,-0.22,4.45,11.41,-4.41,-32.9
4167,aspartic-3mg,(none),aspartics,FALSE,13.8,-4.47,-4.63,22.22,-4.61,-33.1
4188,runin,(none),aspartics,FALSE,1.9,1.02,7.1,5.15,-6.1,-34.66
4189,runin,(none),aspartics,FALSE,2.18,0.81,6.64,5.4,-5.96,-34.52
4190,aspartic,(none),aspartics,FALSE,2.09,0.54,6.07,5.69,-6.34,-34.91
4191,aspartic,(none),aspartics,FALSE,2.34,0.41,5.8,6.28,-6.01,-34.57
4225,runin,(none),aspartics,FALSE,2.15,0.45,5.89,5.43,-7.52,-36.15
4226,runin,(none),aspartics,FALSE,2.11,-0.76,3.29,4.82,-19.16,-48.31
4227,runin,(none),aspartics,FALSE,2.18,-1.5,1.72,5.18,-8.23,-36.89
4228,aspartic,(none),aspartics,FALSE,1.72,-0.04,4.83,4.15,-18.48,-47.6
4229,aspartic,(none),aspartics,FALSE,1.77,-0.61,3.61,4.21,-10.52,-39.28
4230,aspartic,(none),aspartics,FALSE,2.18,-4.48,-4.64,5.24,-14.74,-43.7
4244,aspartic,(none),aspartics,FALSE,1.26,-0.91,2.98,3.25,-13.66,-42.57
4245,aspartic-0.1mg,(none),aspartics,FALSE,0.34,-3.28,-2.09,1.05,-12.87,-41.74
4246,aspartic-1mg,(none),aspartics,FALSE,3.5,-1.82,1.02,6.25,-10.94,-39.72
4247,aspartic-3mg,(none),aspartics,FALSE,11.06,0.31,5.58,16.49,-7.93,-36.58
4258,aspartic,(none),aspartics,FALSE,1.82,-2.63,-0.69,3.43,-17.53,-46.61
4284,runin,(none),aspartics,FALSE,2.53,0.02,4.97,3.27,-6.7,-35.28
4285,runin,(none),aspartics,FALSE,2.27,-0.02,4.88,2.93,-6.56,-35.14
4286,runin,(none),aspartics,FALSE,1.68,-0.45,3.95,3.31,-6.32,-34.9
4287,aspartic,(none),aspartics,FALSE,2.22,-0.83,3.14,3.09,-5.03,-33.55
4288,aspartic,(none),aspartics,FALSE,2.88,-0.76,3.3,3.96,-5.04,-33.55
4289,aspartic,(none),aspartics,FALSE,2.49,-0.69,3.44,3.44,-4.93,-33.44
4307,aspartic,(none),aspartics,FALSE,2.05,-0.73,3.37,3.22,-4.22,-32.69
