No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
1,Cu,mt,Blank without O,100,734,427,1,1,0.02,0.02,0.8139,"redn tube, ash cruc changed",2/21/2023 15:58
2,"Nu,Cu",mt,Blank without O,100,5,121,1,1,0,0,31.7694,,2/21/2023 16:06
3,"Nu,Cu",mt,Blank without O,100,15,87,1,1,0,0,8.2273,,2/21/2023 16:14
4,"Nu,Cu",mt,20mg150sIRMS_delay,100,39,225,1,1,0,0.01,7.9716,,2/21/2023 16:26
5,"Nu,Cu",mt,20mg150sIRMS_delay,100,59,299,1,1,0,0.01,7.0929,,2/21/2023 16:38
6,"Nnp,Cu",mt,20mg150sIRMS_delay,100,0,326,1,1,0,0.01,0,,2/22/2023 9:39
7,"Nu,Cu",mt,20mg150sIRMS_delay,100,31,117,1,1,0,0,5.3109,,2/22/2023 9:51
8,"Nu,Cu",mt,20mg150sIRMS_delay,100,60,48,1,1,0,0,1.1096,,2/22/2023 10:03
9,"Nu,Cu",mt,20mg150sIRMS_delay,100,45,39,1,1,0,0,1.2124,,2/22/2023 10:15
10,"Nu,Cu",MT,20mg150sIRMS_delay,100,140,119,1,1,0,0,1.1896,,2/22/2023 15:22
11,"Nu,Cu",MT,20mg150sIRMS_delay,100,49,38,1,1,0,0,1.1052,,2/22/2023 15:35
12,"Nu,Cu",MT,20mg150sIRMS_delay,100,105,34,1,1,0,0,0.4499,,2/22/2023 15:48
13,,runin,20mg150sIRMS_delay,0.506,2017,5780,1,1,10.41,41.84,4.0209,,2/22/2023 16:01
14,,runin,20mg150sIRMS_delay,0.478,1726,5156,1,1,9.43,39.5,4.1907,,2/22/2023 16:15
15,,aspartic,20mg150sIRMS_delay,0.499,2256,5801,0.8917,0.8475,10.52,36.09,3.4306,,2/22/2023 16:28
16,,aspartic,20mg150sIRMS_delay,0.46,1869,5378,0.9918,0.8428,10.52,36.09,3.4306,,2/22/2023 16:41
17,,aspartic,20mg150sIRMS_delay,0.537,1908,5684,1.1345,0.9308,10.52,36.09,3.4306,,2/22/2023 16:54
18,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.068,254,857,1.006,0.8737,9.89,40.46,4.0894,,2/22/2023 17:07
19,,moran-med,20mg150sIRMS_delay,0.5,1590,5953,1.006,0.8737,8.35,38.11,4.5625,,2/22/2023 17:21
20,Nu,1,20mg150sIRMS_delay,10.036,381,5149,1.006,0.8737,0.1,1.64,16.3514,skip,2/22/2023 18:00
21,bl,2,20mg150sIRMS_delay,10.321,671,78440,1.006,0.8737,0.17,24.71,143.8168,skip,2/22/2023 18:14
22,"Nu,Cu",3,20mg150sIRMS_delay,10.206,102,1755,1.006,0.8737,0.03,0.55,20.9602,skip,2/22/2023 18:27
