No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
1,"Npe,Cu",mt,Blank without O,100,0,552,1,1,0,0.02,0,"redn tube, ash crucible changed",1/5/2023 15:00
2,"Nu,Cu",mt,Blank without O,100,89,92,1,1,0,0,1.4442,,1/5/2023 15:08
3,"Nu,Cu",mt,Blank without O,100,251,100,1,1,0.01,0,0.5562,,1/5/2023 15:16
4,"Nu,Cu",mt,Blank without O,100,219,86,1,1,0.01,0,0.5459,,1/5/2023 15:24
5,"Nu,Cu",mt,20mg150sIRMS_delay,100,59,753,1,1,0,0.03,17.9597,,1/10/2023 12:18
6,"Nu,Cu",mt,Blank without O,100,88,20,1,1,0,0,0.32,,1/10/2023 12:26
7,"Cnp,Nu",mt,Blank without O,100,79,0,1,1,0,0,0,,1/10/2023 12:35
8,"Nu,Cu",mt,20mg150sIRMS_delay,100,76,17,1,1,0,0,0.3066,,1/10/2023 12:46
9,"Nu,Cu",mt,20mg150sIRMS_delay,100,153,7,1,1,0,0,0.0598,,1/10/2023 12:58
10,"Nnp,Cnp",mt,Blank without O,100,0,0,1,1,0,0,0,CO2 trap bakeout,1/11/2023 11:10
11,"Cnp,Nu",mt,Blank without O,100,36,0,1,1,0,0,0,,1/11/2023 11:19
12,"Cnp,Nu",mt,Blank without O,100,64,0,1,1,0,0,0,,1/11/2023 11:26
13,"Cnp,Nu",mt,Blank without O,100,64,0,1,1,0,0,0,,1/11/2023 11:34
14,Cu,MT,20mg150sIRMS_delay,100,6975,93,1,1,0.18,0,0.019,,1/12/2023 15:20
15,"Nu,Cu",MT,20mg150sIRMS_delay,100,134,27,1,1,0,0,0.283,,1/12/2023 15:33
16,"Nu,Cu",MT,20mg150sIRMS_delay,100,129,41,1,1,0,0,0.4455,,1/12/2023 15:46
17,"Nu,Cu",MT,20mg150sIRMS_delay,100,119,29,1,1,0,0,0.3384,,1/12/2023 15:59
18,"Cnp,Nu",MT,Blank with O,100,141,0,1,1,0,0,0,,1/12/2023 18:03
19,"Nu,Cu",MT,Blank with O,100,76,6,1,1,0,0,0.108,,1/12/2023 18:11
20,"Nu,Cu",MT,20mg150sIRMS_delay,100,183,14,1,1,0,0,0.1044,,1/13/2023 9:24
21,"Nu,Cu",MT,20mg150sIRMS_delay,100,122,34,1,1,0,0,0.3864,,1/13/2023 9:37
22,"Nu,Cu",MT,20mg150sIRMS_delay,100,111,31,1,1,0,0,0.3951,,1/13/2023 9:50
23,"Nu,Cu",MT,20mg150sIRMS_delay,100,115,28,1,1,0,0,0.3399,,1/13/2023 10:04
24,,runin,20mg150sIRMS_delay,0.481,2305,5356,1,1,12.5,40.78,3.2617,,1/13/2023 13:34
25,,runin,20mg150sIRMS_delay,0.549,2481,6164,1,1,11.79,41.13,3.488,,1/13/2023 13:47
26,,runin,20mg150sIRMS_delay,0.509,2263,5600,1,1,11.6,40.3,3.4735,,1/13/2023 14:01
